condition,medication_name,dosage_guideline,precautions,disclaimer
Fever,Paracetamol (Acetaminophen),Adults: 500-1000mg every 4-6 hours (max 4000mg/day). Children: 10-15mg/kg every 4-6 hours.,⚠️ Do not exceed recommended dose. Avoid with liver disease. Do not take with alcohol.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Fever,Ibuprofen,Adults: 200-400mg every 6-8 hours with food (max 1200mg/day). Not for children under 6 months.,⚠️ Take with food to prevent stomach upset. Avoid if allergic to aspirin. Do not take if pregnant.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Fever,Aspirin,Adults: 300-600mg every 4-6 hours (max 3600mg/day). Not for children under 12 years.,⚠️ Do not give to children under 12 with fever. May cause stomach bleeding.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Headache,Paracetamol,"500-1000mg as needed. If persistent beyond 3 days, consult physician.","⚠️ If headache persists beyond 3 days, consult physician.",⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Headache,Ibuprofen,200-400mg with food. Do not exceed 1200mg in 24 hours.,⚠️ Do not take on empty stomach. Avoid with kidney problems.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Body Pain,Ibuprofen,200-400mg every 6-8 hours with meals for body aches.,⚠️ Do not exceed recommended dose. Stop if stomach pain occurs.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Body Pain,Paracetamol,500mg every 4-6 hours for pain relief.,⚠️ Consult physician if pain persists beyond 3 days.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Common Cold,Cetirizine,Adults: 10mg once daily. Children: 5mg once daily (for 6-12 years).,⚠️ May cause drowsiness. Avoid alcohol.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Common Cold,Loratadine,Adults: 10mg once daily. Less drowsy than other antihistamines.,⚠️ Generally well-tolerated. Rarely causes drowsiness.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Influenza,Paracetamol,500mg every 4-6 hours for fever and body aches. Rest and fluids.,⚠️ Rest and fluids essential. Monitor fever.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Influenza,Ibuprofen,200-400mg for body aches and fever. Take with food.,⚠️ Take with food. Monitor for allergic reactions.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Cough,Dextromethorphan,Adults: 10-20mg every 4 hours. Children: 5-10mg every 4 hours.,⚠️ Do not take with MAO inhibitors. May cause drowsiness.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Cough,Guaifenesin,200-400mg every 4 hours. Drink plenty of water.,⚠️ Drink plenty of fluids. Stop if rash develops.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Sore Throat,Throat Lozenges,Dissolve in mouth as needed every 2-4 hours.,⚠️ Do not exceed recommended lozenges per day.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Sore Throat,Salt Water Gargle,Gargle with warm salt water 3-4 times daily.,⚠️ Do not swallow. Use as gargle only.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Allergy,Cetirizine,10mg once daily for allergy symptoms.,⚠️ May cause drowsiness. Avoid driving.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Allergy,Loratadine,10mg once daily for seasonal allergies.,⚠️ Generally safe. Consult physician if pregnant.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Allergy,Diphenhydramine,25-50mg every 6 hours as needed for severe allergy (causes drowsiness).,⚠️ Causes significant drowsiness. Avoid operating machinery.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Indigestion,Antacids,Chew 1-2 tablets as needed after meals.,⚠️ Do not exceed recommended dose. Consult if symptoms persist.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Diarrhea,Oral Rehydration Salts (ORS),Mix 1 packet with clean water. Sip slowly over 4-6 hours.,⚠️ Essential for preventing dehydration. Continue even if vomiting.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Diarrhea,Loperamide,2mg after each loose stool (max 8mg/day). Stop after 2 days if no improvement.,⚠️ Stop after 2 days. Seek medical attention if bloody stools.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Nausea,Ginger Tea,Drink ginger tea 2-3 times daily for nausea.,⚠️ Safe for mild nausea. Seek care if severe.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Stomach Pain,Antacids,Chew 1-2 tablets as needed for heartburn.,⚠️ Do not use if allergic. Consult physician if heartburn persists.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Rash,Hydrocortisone Cream,Apply thin layer to affected area 2-3 times daily for 3-5 days.,⚠️ Do not use on broken skin or infected areas.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Rash,Calamine Lotion,Apply to affected area as needed for itching relief.,⚠️ For external use only. Avoid eye contact.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Itching,Antihistamine,Oral antihistamine 10mg once daily for itching.,⚠️ May cause drowsiness. Avoid alcohol.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Malaria,Artemisinin-based Combination Therapy (ACT),Follow prescribed course exactly. Complete full treatment.,⚠️ Complete full course even if symptoms improve.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Malaria,Paracetamol,500mg every 4-6 hours for fever accompanying malaria.,⚠️ Take as prescribed. Monitor for allergic reactions.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Inflammation,Ibuprofen,200-400mg every 6-8 hours with food for inflammation.,⚠️ Do not take on empty stomach. Avoid with stomach ulcers.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Inflammation,Aspirin,300-600mg every 4-6 hours for inflammation.,⚠️ Do not give to children with fever. Monitor for allergic reactions.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Dehydration,Oral Rehydration Salts (ORS),Mix 1 packet with clean water. Drink slowly. Seek medical attention if severe.,⚠️ Seek medical attention if vomiting persists.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
Dehydration,Electrolyte Solution,Sip slowly. Continue until rehydrated.,⚠️ Continue drinking even if vomiting. Seek care if severe.,⚠️ DISCLAIMER: This is for informational purposes only. Consult a qualified healthcare professional before taking any medication.
